RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
142,b'MTU3MjQ5NDQ=',b'VGllbg==',663,France,b'TWFsZQ==',34,7,0.0,2,1,1,180427.24,0
143,b'MTU2MjgxNDU=',b'Rm9yd29vZA==',682,France,b'RmVtYWxl',43,5,125851.93,1,1,1,193318.33,0
144,b'MTU3MTM0ODM=',b'R3JlZXZlcw==',793,Spain,b'TWFsZQ==',52,2,0.0,1,1,0,159123.82,1
145,b'MTU2MTIzNTA=',b'VGF5bG9y',691,France,b'RmVtYWxl',31,5,40915.55,1,1,0,126213.84,1
146,b'MTU4MDA3MDM=',b'TWFkdWt3ZQ==',485,Spain,b'RmVtYWxl',21,5,113157.22,1,1,1,54141.5,0
147,b'MTU3MDU3MDc=',b'QmVubmVsb25n',635,Spain,b'RmVtYWxl',29,8,138296.94,2,1,0,141075.51,0
148,b'MTU3NTQxMDU=',b'T2xpc2FudWdv',650,France,b'TWFsZQ==',37,5,106967.18,1,0,0,24495.03,0
149,b'MTU3MDMyNjQ=',b'Q2h1a3d1ZnVtbmFueWE=',735,France,b'TWFsZQ==',44,9,120681.63,1,1,0,74836.34,0
150,b'MTU3OTQ0MTM=',b'SGFycmlz',416,France,b'TWFsZQ==',32,0,0.0,2,0,1,878.87,0
151,b'MTU2NTAyMzc=',b'TW9yZ2Fu',754,Spain,b'RmVtYWxl',32,7,0.0,2,1,0,89520.75,0
152,b'MTU3NTk2MTg=',b'QWxleGVldmE=',535,France,b'RmVtYWxl',48,9,0.0,1,1,0,149892.79,1
153,b'MTU4MTE1ODk=',b'TWV0Y2FsZmU=',716,Spain,b'TWFsZQ==',42,8,0.0,2,1,0,180800.42,0
154,b'MTU2ODkwNDQ=',b'SHVtcGhyaWVz',539,France,b'TWFsZQ==',37,2,127609.59,1,1,0,98646.22,0
155,b'MTU3MDkzNjg=',b'TWlsbmU=',614,France,b'RmVtYWxl',43,6,0.0,2,1,1,109041.53,0
156,b'MTU2NzkxNDU=',b'Q2hvdQ==',706,Spain,b'TWFsZQ==',57,7,0.0,1,1,0,17941.16,1
157,b'MTU2NTUwMDc=',b'TGk=',758,France,b'RmVtYWxl',33,7,0.0,2,0,0,82996.47,0
158,b'MTU2MjM1OTU=',b'Q2xheXRvbg==',586,Spain,b'RmVtYWxl',28,2,0.0,2,1,1,92067.35,0
159,b'MTU1ODk5NzU=',b'TWFjbGVhbg==',646,France,b'RmVtYWxl',73,6,97259.25,1,0,1,104719.66,0
160,b'MTU4MDQwMTc=',b'Q2hpZ29sdW0=',631,Germany,b'RmVtYWxl',33,4,123246.7,1,0,0,112687.57,0
161,b'MTU2OTIxMzI=',b'V2lsa2luc29u',717,Spain,b'RmVtYWxl',22,6,101060.25,1,0,1,84699.56,0
162,b'MTU2NDExMjI=',b'V2Vp',684,France,b'TWFsZQ==',30,2,0.0,2,1,0,83473.82,0
163,b'MTU2MzA5MTA=',b'VHJlYWN5',800,France,b'RmVtYWxl',49,7,108007.36,1,0,0,47125.11,0
164,b'MTU2ODA3NzI=',b'SHU=',721,Spain,b'RmVtYWxl',36,2,0.0,2,1,1,106977.8,0
165,b'MTU2NTg5Mjk=',b'VGF2ZXJuZXI=',683,Spain,b'TWFsZQ==',29,0,133702.89,1,1,0,55582.54,1
166,b'MTU1ODUzODg=',b'U2hlcm1hbg==',660,Germany,b'TWFsZQ==',31,9,125189.75,2,1,1,139874.43,0
167,b'MTU3MjQ2MjM=',b'VGF1Ym1hbg==',704,Germany,b'RmVtYWxl',24,7,113034.22,1,1,0,162503.48,1
168,b'MTU1ODg1Mzc=',b'Um9iaW5zb24=',615,Spain,b'RmVtYWxl',41,9,109013.23,1,1,0,196499.96,0
169,b'MTU1NzQ2OTI=',b'UGludG8=',667,Spain,b'RmVtYWxl',39,2,0.0,2,1,0,40721.24,1
170,b'MTU2MTEzMjU=',b'V29vZA==',682,Germany,b'TWFsZQ==',24,9,57929.81,2,0,0,53134.3,0
171,b'MTU1ODc1NjI=',b'SGF3a2lucw==',484,France,b'RmVtYWxl',29,4,130114.39,1,1,0,164017.89,0
172,b'MTU2MTMxNzI=',b'U3Vu',628,Germany,b'TWFsZQ==',27,5,95826.49,2,1,0,155996.96,0
173,b'MTU2NTEwMjI=',b'WW9zdA==',480,Germany,b'TWFsZQ==',44,10,129608.57,1,1,0,5472.7,1
174,b'MTU1ODYzMTA=',b'VGluZw==',578,France,b'TWFsZQ==',30,4,169462.09,1,1,0,112187.11,0
175,b'MTU2MjU1MjQ=',b'Um93ZQ==',512,France,b'TWFsZQ==',40,5,0.0,2,1,1,146457.83,0
176,b'MTU3NTUyMDk=',b'RnU=',484,Spain,b'RmVtYWxl',35,7,133868.21,1,1,1,27286.1,0
177,b'MTU2NDUyNDg=',b'SG8=',510,France,b'RmVtYWxl',30,0,0.0,2,1,1,130553.47,0
178,b'MTU3OTAzNTU=',b'T2tlY2h1a3d1',606,Germany,b'TWFsZQ==',36,5,190479.48,2,0,0,179351.89,0
179,b'MTU3NjI2MTU=',b'Q2FtcGJlbGw=',597,Spain,b'RmVtYWxl',40,8,101993.12,1,0,1,94774.12,0
180,b'MTU2MjU0MjY=',b'QXNoYm9sdA==',754,Germany,b'RmVtYWxl',55,3,161608.81,1,1,0,8080.85,1
181,b'MTU3MTYzMzQ=',b'Um96aWVy',850,Spain,b'RmVtYWxl',45,2,122311.21,1,1,1,19482.5,0
182,b'MTU3ODk2Njk=',b'SHNpYQ==',510,France,b'TWFsZQ==',65,2,0.0,2,1,1,48071.61,0
183,b'MTU2MjEwNzU=',b'T2dib25uYXlh',778,Germany,b'RmVtYWxl',45,1,162150.42,2,1,0,174531.27,0
184,b'MTU4MTA4NDU=',b'VCdhbmc=',636,France,b'TWFsZQ==',42,2,0.0,2,1,1,55470.78,0
185,b'MTU3MTkzNzc=',b'Q29jY2k=',804,France,b'RmVtYWxl',50,4,0.0,1,1,1,8546.87,1
186,b'MTU2NTQ1MDY=',b'Q2hhbmc=',514,France,b'TWFsZQ==',32,8,0.0,2,1,0,95857.18,0
187,b'MTU3NzE5Nzc=',b'VCdhbw==',730,France,b'RmVtYWxl',39,1,99010.67,1,1,0,194945.8,0
188,b'MTU3MDg3MTA=',b'Rm9yZA==',525,Spain,b'RmVtYWxl',37,0,0.0,1,0,1,131521.72,0
189,b'MTU3MjY2NzY=',b'TWFyc2hhbGw=',616,Spain,b'TWFsZQ==',30,5,0.0,2,0,1,196108.51,0
190,b'MTU1ODc0MjE=',b'VHNhaQ==',687,Germany,b'RmVtYWxl',34,7,111388.18,2,1,0,148564.76,0
191,b'MTU3MjY5MzE=',b'T253dW1lbHU=',715,France,b'RmVtYWxl',41,8,56214.85,2,0,0,92982.61,1
192,b'MTU3NzEwODY=',b'R3JhaGFt',512,France,b'RmVtYWxl',36,3,84327.77,2,1,0,17675.36,0
193,b'MTU3NTY4NTA=',b'R29sb3Zhbm92',479,France,b'TWFsZQ==',40,1,0.0,2,0,0,114996.43,0
194,b'MTU3MDI3NDE=',b'UG90dHM=',601,France,b'TWFsZQ==',32,8,93012.89,1,1,0,86957.42,0
195,b'MTU2NzkyMDA=',b'Q3Jhd2ZvcmQ=',580,Spain,b'TWFsZQ==',29,9,61710.44,2,1,0,128077.8,0
196,b'MTU1OTQ4MTU=',b'QWxlc2hpcmU=',807,France,b'TWFsZQ==',35,3,174790.15,1,1,1,600.36,0
197,b'MTU2MzU5MDU=',b'TW9yYW4=',616,Spain,b'RmVtYWxl',32,6,0.0,2,1,1,43001.46,0
198,b'MTU3Nzc4OTI=',b'U2Ftc29ub3Zh',721,Germany,b'TWFsZQ==',37,3,107720.64,1,1,1,158591.12,0
199,b'MTU2NTYxNzY=',b'SmVua2lucw==',501,France,b'TWFsZQ==',57,10,0.0,2,1,1,47847.19,0
200,b'MTU4MTExMjc=',b'Vm9sa292',521,France,b'TWFsZQ==',35,6,96423.84,1,1,0,10488.44,0
201,b'MTU2MDQ0ODI=',b'Q2hpZW1lemll',850,Spain,b'TWFsZQ==',30,2,141040.01,1,1,1,5978.2,0
202,b'MTU2MjI5MTE=',b'SnVkZQ==',759,France,b'TWFsZQ==',42,4,105420.18,1,0,1,121409.06,0
203,b'MTU2MDA5NzQ=',b'SGU=',516,Spain,b'TWFsZQ==',50,5,0.0,1,0,1,146145.93,1
204,b'MTU3Mjc4Njg=',b'T251b3Jh',711,France,b'RmVtYWxl',38,2,129022.06,2,1,1,14374.86,1
205,b'MTU2Mjc4MDE=',b'R2luaWthbndh',512,Spain,b'TWFsZQ==',33,3,176666.62,1,1,0,94670.77,0
